HB1004	Nat		42.959472	-81.309866	1828
HB1005	Nat	M	42.980389	-81.344198	1828
HB1008					1828
HB0954	Nat		39.14757	-84.753428	1833
HB0901	Nat	M	41.154318	-87.919365	1870
HB0902	Nat	M	40.900098	-90.991298	1875
HB0900	Nat	F	40.900098	-90.991298	1876
HB0964	Nat	F	38.55	-89.916667	1877
HB0935	Ag	F	42.954827	-81.234897	1880
HB0937	Nat		43.04267	-81.175264	1880
HB0949	Nat	M	43.083152	-81.166767	1880
HB0959	Nat	F	41.826723	-87.82569	1882
HB0953		M	39.136053	-84.502294	1883
HB0934	Nat		43.89161	-81.312795	1889
HB0965			38.62975	-90.242434	1889
HB0933	Dist	F	43.892294	-81.312444	1891
HB0936	Nat		45.319337	-75.093578	1891
HB0904	Dist	F	41.779452	-87.61641	1892
HB0984		M	45.289379	-75.737232	1892
HB0966	Nat	F	38.509011	-90.177817	1893
HB1011	Dist	M	41.864251	-88.103346	1894
HB0914	Ag	M	41.67333333	-84.32694444	1895
HB0903	Nat	F	41.823199	-88.174393	1897
HB0907	Dist	M	41.818787	-87.706608	1897
HB0924	Nat	M	39.15556	-94.39333	1897
HB0952	Nat	F	41.829751	-88.177826	1897
HB0967	Nat	F	41.829751	-88.177826	1897
HB0919	Dist	F	41.602259	-87.25837	1898
HB0968	Nat	F	38.625	-90.16	1902
HB0915			41.772246	-82.79184	1903
HB1009	Nat		43.892294	-81.312444	1903
HB1010	Dist	M	41.640523	-87.626446	1906
HB0951	Ag	F	42.979577	-82.470627	1909
HB0969	Ag	F	38.603097	-90.257021	1912
HB0925	Ag	M	39.813187	-95.160615	1913
HB0926	Ag	M	39.813187	-95.160615	1913
HB1002		F	42.77177	-81.197887	1918
HB0960	Nat	F	37.364829	-88.482798	1919
HB0983	Ag	M	37.204167	-94.344167	1919
HB0987	Nat		47.387012	-77.283366	1921
HB0970	Nat	F	42.370872	-88.121862	1925
HB0971	Nat	M	38.595548	-90.767735	1927
HB0972	Dist	M	38.495758	-90.217877	1927
HB0973	Ag	M			1930
HB0955	Ag	F	45.966667	-81.933333	1932
HB0974	Nat	M	38.572701	-90.229642	1933
HB1000	Dist		42.468738	-82.407807	1934
HB0994	Nat	M	44.486839	-77.458612	1937
HB0999	Nat	M	41.683999	-82.682764	1938
HB1001	Nat	M	43.352835	-80.316045	1939
HB0928	Ag	M	38.9365	-95.22391	1940
HB0938	Ag	M	43.04956	-80.523938	1940
HB0975	Nat	M	40.119754	-88.498602	1940
HB0920	Ag	F	37.870283	-87.634147	1941
HB0921	Ag		37.979365	-87.544518	1941
HB0909	Ag	F	41.782572	-90.138152	1946
HB0957	Nat	M	39.578464	-89.730027	1946
HB0911	Ag	F	39.127901	-89.860508	1947
HB0910	Dist	M	42.481444	-88.157622	1948
HB0927	Nat	M	39.000784	-95.626093	1949
HB0961	Dist	M	40.061911	-88.105443	1949
HB0992	Nat	F	45.046655	-76.230997	1949
HB0940	Nat	F	42.48877	-82.413605	1950
HB0988	Nat	M	43.035303	-79.897787	1951
HB0908	Dist	M	40.114645	-87.875056	1952
HB0922	Ag	M	39.482726	-86.019624	1952
