342	Ag	F	12
450	Nat	F	15
503	Ag	F	2
556	Ag	.	9
4801	Ag	M	9
4802	Ag	F	12
4803	Nat	F	4
4806	Nat	F	8
4809	Nat	F	12
4810	Nat	M	5
4813	Nat	F	17
4814	Ag	F	10
4819	Nat	M	13
4820	Ag	M	11
4821	Nat	F	9
4822	Nat	M	5
4826	Nat	M	6
4828	Ag	M	16
4830	Nat	F	10
4832	Nat	M	14
4841	Nat	M	13
4846	Nat	M	17
4850	Ag	F	2
4854	Ag	F	4
4860	Nat	M	12
4861	Ag	F	4
4862	Ag	F	17
4866	Nat	F	6
4869	Nat	F	16
4873	Ag	F	14
4875	Ag	F	1
4876	Nat	F	1
4882	Nat	M	10
4886	Ag	M	5
4887	Ag	F	13
4888	Nat	F	1
4891	Nat	M	15
4895	Ag	F	17
4899	Ag	M	5
4902	Nat	M	9
4907	Ag	F	4
4909	Ag	M	14
4912	Nat	F	4
4917	Ag	M	1
4919	Nat	F	3
4921	Nat	F	17
4925	Nat	F	6
4928	Ag	F	5
4933	Nat	M	16
4935	Ag	M	6
4939	Nat	M	9
4944	Nat	F	11
4948	Ag	M	9
4955	Ag	F	1
4958	Nat	F	5
4960	Nat	F	15
4964	Nat	M	3
4965	Ag	F	12
4966	Ag	F	4
4968	Nat	F	16
4977	Nat	F	13
4979	Nat	M	4
4981	Ag	F	9
4982	Ag	M	15
4984	Nat	M	5
4989	Ag	M	14
5002	Nat	F	2
5006	Nat	F	14
5008	Ag	M	5
5015	Ag	M	1
5018	Ag	M	2
5031	Nat	M	7
5032	Ag	F	1
5040	Nat	F	1
5053	Nat	M	16
5061	Ag	M	10
5066	Nat	M	1
5073	Ag	F	16
5079	Nat	M	4
5084	Ag	F	7
5086	Ag	M	1
5089	Nat	F	8
5097	Ag	F	5
5098	Ag	F	14
5099	Ag	M	6
5100	Nat	F	17
5102	Ag	F	16
5105	Nat	M	17
5110	Nat	F	3
5115	Nat	M	3
5116	Nat	F	5
5117	Ag	M	14
5122	Ag	F	2
5125	Nat	F	14
5134	Ag	F	3
5136	Ag	F	3
5137	Nat	F	13
5138	Nat	F	1
5142	Ag	F	15
5144	Ag	M	3
5145	Ag	F	11
5147	Ag	F	5
5150	Ag	M	4
5151	Nat	F	5
5156	Nat	M	14
5157	Nat	M	8
5161	Nat	M	7
5163	Nat	F	17
5165	Ag	M	5
5169	Nat	M	1
5170	Ag	F	8
5171	Nat	M	16
5176	Ag	M	7
5183	Nat	F	15
5189	Nat	M	14
5197	Ag	F	6
5202	Nat	F	4
5203	Ag	M	17
5204	Nat	F	17
5205	Nat	M	10
5206	Nat	F	4
5208	Nat	F	11
5209	Nat	F	6
5213	Nat	M	12
5216	Ag	M	2
5219	Nat	M	2
5220	Nat	M	8
5221	Nat	M	15
5222	Ag	M	14
5223	Nat	F	5
5225	Ag	M	16
5227	Ag	F	7
5233	Ag	F	11
5234	Ag	M	8
5238	Ag	M	16
5239	Ag	F	5
5242	Ag	F	5
5244	Ag	F	16
5247	Ag	F	15
5249	Ag	M	7
5258	Ag	F	6
5261	Ag	M	4
5262	Ag	M	13
5264	Ag	M	17
5268	Ag	M	15
5270	Ag	M	8
5271	Ag	F	16
5277	Nat	F	13
5284	Nat	M	6
5285	Ag	F	14
5287	Ag	F	17
5294	Nat	F	2
5296	Ag	M	16
5300	Nat	F	12
5312	Nat	F	5
5316	Nat	M	11
5317	Nat	M	16
5320	Nat	M	9
5321	Nat	M	16
5323	Ag	M	4
5325	Nat	M	12
5326	Nat	M	14
5329	Nat	M	11
5330	Nat	M	2
5333	Ag	M	1
5334	Nat	M	11
5337	Nat	M	1
5343	Nat	M	7
5346	Ag	M	4
5348	Nat	F	12
5357	Ag	F	4
5359	Ag	F	3
5368	Nat	F	9
5369	Nat	F	16
5375	Nat	F	4
5377	Nat	F	7
5378	Nat	M	5
5380	Ag	M	11
5381	Ag	F	6
5385	Nat	M	4
5387	Ag	F	9
5389	Nat	F	2
5393	Ag	M	4
5394	Ag	M	7
5395	Nat	M	7
5396	Nat	M	4
5400	Ag	M	9
