Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4830,97.1,2.87,10.9,0.00265,0.548,534286358,534.286358,MarkTwain_Nat_19_F_Co,MarkTwain,19,Nat,F,Co,4830,0.105,18.1,1.371212121,0.0156,1.46,5856,0.5856,10.59936,0.8029818182,1.071802,0.128693,Natural,MarkTwain,39.46407096,-91.68243396,10,77,4830,-91.68243396,39.46407096
4832,96.5,3.46,11.3,0.00222,0.584,558324540,558.32454,Kakanee_Nat_181_M_So,Kakanee,181,Nat,M,So,4832,0.138,21,1.794871795,0.0173,0.586,5055,0.5055,10.6155,0.9073076923,1.069952,0.182479,Natural,Kakanee,41.15132703,-87.89857297,14,92,4832,-87.89857297,41.15132703
4841,97,2.95,13.6,0.00321,0.865,513110162,513.110162,Pontiac_Nat_93_M_Co,Pontiac,93,Nat,M,Co,4841,0.0202,15.1,1.385321101,0.00458,1.15,11379,1.1379,17.18229,1.576356881,1.113472,0.115517,Natural,Pontiac,40.87326997,-88.62446599,13,180,4841,-88.62446599,40.87326997
4846,97.3,2.66,16.5,0.00335,1.05,486210078,486.210078,Lawrence_Nat_173_M_So,Lawrence,173,Nat,M,So,4846,0.0022,47.8,4.230088496,0.00651,1.84,10870,1.087,51.9586,4.598106195,3.094492,0.53013,Natural,Lawrence,38.927036,-95.241462,17,100,4846,-95.241462,38.927036
4850,96.8,3.23,16.7,0.00321,0.728,512619072,512.619072,Mccombe_Ag_72_F_Wa,Mccombe,72,Ag,F,Wa,4850,0.00677,9.45,0.6948529412,0.00399,0.743,21238,2.1238,20.06991,1.475728676,1.096707,0.327764,Agricultural,Mccombe,41.06360497,-83.78943597,2,102,4850,-83.78943597,41.06360497
4854,97.3,2.71,14.4,0.00267,0.765,527127258,527.127258,Greenup_Ag_76_F_Co,Greenup,76,Ag,F,Co,4854,0.00223,44.5,2.696969697,0.00609,1.52,11277,1.1277,50.18265,3.041372727,3.384055,0.803276,Agricultural,Greenup,39.305104,-88.139778,4,51,4854,-88.139778,39.305104
4860,96.9,3.07,12.6,0.00389,1.01,518408244,518.408244,Pekin_Nat_123_M_So,Pekin,123,Nat,M,So,4860,0.152,21.9,1.311377246,0.0122,1.73,6535,0.6535,14.31165,0.8569850299,1.102063,0.229719,Natural,Pekin,40.57469501,-89.65567603,12,181,4860,-89.65567603,40.57469501
4861,97.3,2.67,15.7,0.00318,0.702,522547215,522.547215,Greenup_Ag_190_F_Co,Greenup,190,Ag,F,Co,4861,0.0186,16.2,1.125,0.00492,0.513,11832,1.1832,19.16784,1.3311,1.145947,0.143322,Agricultural,Greenup,39.305104,-88.139778,4,105,4861,-88.139778,39.305104
4862,97.5,2.48,12.5,0.00183,0.673,543953470,543.95347,Baldwin_Ag_34_F_Co,Baldwin,34,Ag,F,Co,4862,0.1,17.8,1.412698413,0.00396,3.07,9905,0.9905,17.6309,1.399277778,0.988185,0.111893,Agricultural,Baldwin,38.782048,-95.171401,17,33,4862,-95.171401,38.782048
4866,97.4,2.56,13.6,0.00348,0.949,515610240,515.61024,Pontoon_Nat_11_F_Wa,Pontoon,11,Nat,F,Wa,4866,0.00463,27.2,1.732484076,0.00644,2.28,11739,1.1739,31.93008,2.033763057,2.322241,0.395539,Natural,Pontoon,38.699066,-90.068054,6,160,4866,-90.068054,38.699066
