sample	env	sex	lat	long	year	state
4_18	Ag		42.165	-82.7575	2015	Essex
D11	Ag		40.23445	-90.68532	2015	Illinois
16_8	Ag		42.5575	-82.5075	2015	Walpole
N1_5	Nat		42.75516	-81.47353	2015	Nat
K8	Ag		39.22823	-94.8038	2015	Missouri
K19	Ag		39.22823	-94.8038	2015	Missouri
9_6	Ag		42.16417	-82.73944	2015	Essex
J5	Ag		38.84678	-88.70412	2015	Illinois
5_10	Ag		42.16528	-82.75667	2015	Essex
N3_3	Nat		42.81984	-81.4299	2015	Nat
18_16	Ag		42.57389	-82.48917	2015	Walpole
E14	Ag		38.14008	-89.6939	2015	Illinois
K4	Ag		39.22823	-94.8038	2015	Missouri
5_19	Ag		42.16528	-82.75667	2015	Essex
J18	Ag		38.84678	-88.70412	2015	Illinois
5_1	Ag		42.16528	-82.75667	2015	Essex
F1	Ag		37.40355	-89.38954	2015	Illinois
D14	Ag		40.23445	-90.68532	2015	Illinois
E10	Ag		38.14008	-89.6939	2015	Illinois
4_9	Ag		42.165	-82.7575	2015	Essex
5_4	Ag		42.16528	-82.75667	2015	Essex
E6	Ag		38.14008	-89.6939	2015	Illinois
27_9	Ag		42.56944	-82.48861	2015	Walpole
6_5	Ag		42.16472	-82.75139	2015	Essex
18_2	Ag		42.57389	-82.48917	2015	Walpole
27_10	Ag		42.56944	-82.48861	2015	Walpole
7_12	Ag		42.16278	-82.7525	2015	Essex
6_7	Ag		42.16472	-82.75139	2015	Essex
D5	Ag		40.23445	-90.68532	2015	Illinois
D4	Ag		40.23445	-90.68532	2015	Illinois
6_6	Ag		42.16472	-82.75139	2015	Essex
F7	Ag		37.40355	-89.38954	2015	Illinois
B9	Ag		39.76047	-90.01332	2015	Illinois
19_5	Ag		42.57222	-82.47972	2015	Walpole
H2	Ag		38.70276	-89.81303	2015	Illinois
D15	Ag		40.23445	-90.68532	2015	Illinois
H11	Ag		38.70276	-89.81303	2015	Illinois
16_3	Ag		42.5575	-82.5075	2015	Walpole
15_5	Ag		42.62056	-82.49472	2015	Walpole
N4_2	Nat		43.02103	-79.89121	2015	Nat
E2	Ag		38.14008	-89.6939	2015	Illinois
17_6	Ag		42.56028	-82.51444	2015	Walpole
4_1	Ag		42.165	-82.7575	2015	Essex
D12	Ag		40.23445	-90.68532	2015	Illinois
E3	Ag		38.14008	-89.6939	2015	Illinois
E15	Ag		38.14008	-89.6939	2015	Illinois
5_8	Ag		42.16528	-82.75667	2015	Essex
18_3	Ag		42.57389	-82.48917	2015	Walpole
B19	Ag		39.76047	-90.01332	2015	Illinois
J2	Ag		38.84678	-88.70412	2015	Illinois
17_1	Ag		42.56028	-82.51444	2015	Walpole
N3_2	Nat		42.81984	-81.4299	2015	Nat
G15	Ag		37.29073	-88.88219	2015	Illinois
19_1_1	Ag		42.57222	-82.47972	2015	Walpole
17_7	Ag		42.56028	-82.51444	2015	Walpole
15_3	Ag		42.62056	-82.49472	2015	Walpole
K13	Ag		39.22823	-94.8038	2015	Missouri
G5	Ag		37.29073	-88.88219	2015	Illinois
7_7	Ag		42.16278	-82.7525	2015	Essex
J6	Ag		38.84678	-88.70412	2015	Illinois
27_4	Ag		42.56944	-82.48861	2015	Walpole
B7	Ag		39.76047	-90.01332	2015	Illinois
4_2	Ag		42.165	-82.7575	2015	Essex
27_6	Ag		42.56944	-82.48861	2015	Walpole
5_2	Ag		42.16528	-82.75667	2015	Essex
G7	Ag		37.29073	-88.88219	2015	Illinois
7_10	Ag		42.16278	-82.7525	2015	Essex
J4	Ag		38.84678	-88.70412	2015	Illinois
17_10	Ag		42.56028	-82.51444	2015	Walpole
6_10	Ag		42.16472	-82.75139	2015	Essex
15_7	Ag		42.62056	-82.49472	2015	Walpole
F15	Ag		37.40355	-89.38954	2015	Illinois
16_7	Ag		42.5575	-82.5075	2015	Walpole
B11	Ag		39.76047	-90.01332	2015	Illinois
H19	Ag		38.70276	-89.81303	2015	Illinois
4_16	Ag		42.165	-82.7575	2015	Essex
G10	Ag		37.29073	-88.88219	2015	Illinois
G11	Ag		37.29073	-88.88219	2015	Illinois
9_9	Ag		42.16417	-82.73944	2015	Essex
7_2	Ag		42.16278	-82.7525	2015	Essex
H1	Ag		38.70276	-89.81303	2015	Illinois
K15	Ag		39.22823	-94.8038	2015	Missouri
N4_3	Nat		43.02103	-79.89121	2015	Nat
K20	Ag		39.22823	-94.8038	2015	Missouri
F5	Ag		37.40355	-89.38954	2015	Illinois
B13	Ag		39.76047	-90.01332	2015	Illinois
K6	Ag		39.22823	-94.8038	2015	Missouri
H8	Ag		38.70276	-89.81303	2015	Illinois
J3	Ag		38.84678	-88.70412	2015	Illinois
H9	Ag		38.70276	-89.81303	2015	Illinois
18_1	Ag		42.57389	-82.48917	2015	Walpole
9_7	Ag		42.16417	-82.73944	2015	Essex
17_11	Ag		42.56028	-82.51444	2015	Walpole
27_8	Ag		42.56944	-82.48861	2015	Walpole
H6	Ag		38.70276	-89.81303	2015	Illinois
19_4	Ag		42.57222	-82.47972	2015	Walpole
4_12	Ag		42.165	-82.7575	2015	Essex
N1_6	Nat		42.75516	-81.47353	2015	Nat
F11	Ag		37.40355	-89.38954	2015	Illinois
6_2	Ag		42.16472	-82.75139	2015	Essex
N3_1	Nat		42.81984	-81.4299	2015	Nat
7_5	Ag		42.16278	-82.7525	2015	Essex
G13	Ag		37.29073	-88.88219	2015	Illinois
4_11	Ag		42.165	-82.7575	2015	Essex
E19	Ag		38.14008	-89.6939	2015	Illinois
7_14	Ag		42.16278	-82.7525	2015	Essex
G2	Ag		37.29073	-88.88219	2015	Illinois
17_4	Ag		42.56028	-82.51444	2015	Walpole
9_5	Ag		42.16417	-82.73944	2015	Essex
B4	Ag		39.76047	-90.01332	2015	Illinois
18_15	Ag		42.57389	-82.48917	2015	Walpole
9_10	Ag		42.16417	-82.73944	2015	Essex
H14	Ag		38.70276	-89.81303	2015	Illinois
F10	Ag		37.40355	-89.38954	2015	Illinois
E7	Ag		38.14008	-89.6939	2015	Illinois
B1	Ag		39.76047	-90.01332	2015	Illinois
27_3	Ag		42.56944	-82.48861	2015	Walpole
D1	Ag		40.23445	-90.68532	2015	Illinois
F9	Ag		37.40355	-89.38954	2015	Illinois
9_1	Ag		42.16417	-82.73944	2015	Essex
B10	Ag		39.76047	-90.01332	2015	Illinois
D2	Ag		40.23445	-90.68532	2015	Illinois
H4	Ag		38.70276	-89.81303	2015	Illinois
4_5	Ag		42.165	-82.7575	2015	Essex
19_1_3	Ag		42.57222	-82.47972	2015	Walpole9_4	Ag		42.16417	-82.73944	2015	EssexK16	Ag		39.22823	-94.8038	2015	Missouri6_9	Ag		42.16472	-82.75139	2015	EssexN1_2	Nat		42.75516	-81.47353	2015	NatN1_3	Nat		42.75516	-81.47353	2015	Nat19_3	Ag		42.57222	-82.47972	2015	Walpole
