342	-89.48221204	40.55406597
450	-86.746256	41.31732501
503	-83.78943597	41.06360497
556	-91.51230698	38.63920603
4801	-91.51230698	38.63920603
4802	-89.48221204	40.55406597
4803	-88.163216	39.393248
4806	-90.73639403	38.65643696
4809	-89.65567603	40.57469501
4810	-89.277403	38.732444
4813	-95.241462	38.927036
4814	-91.98047097	39.463458
4819	-88.62446599	40.87326997
4820	-90.26269396	40.17519498
4821	-91.55559699	38.66783702
4822	-89.277403	38.732444
4826	-90.068054	38.699066
4828	-95.215847	38.988681
4830	-91.68243396	39.46407096
4832	-87.89857297	41.15132703
4841	-88.62446599	40.87326997
4846	-95.241462	38.927036
4850	-83.78943597	41.06360497
4854	-88.139778	39.305104
4860	-89.65567603	40.57469501
4861	-88.139778	39.305104
4862	-95.171401	38.782048
4866	-90.068054	38.699066
4869	-95.239938	39.001464
4873	-87.81988903	41.16467102
4875	-83.79889	41.37218297
4876	-83.66247503	41.55656599
4882	-91.68243396	39.46407096
4886	-89.272475	38.755485
4887	-88.66930699	40.82949003
4888	-83.66247503	41.55656599
4891	-86.746256	41.31732501
4895	-95.171401	38.782048
4899	-89.272475	38.755485
4902	-91.55559699	38.66783702
4907	-88.139778	39.305104
4909	-87.81988903	41.16467102
4912	-88.163216	39.393248
4917	-83.79889	41.37218297
4919	-84.89810603	39.05562996
4921	-95.241462	38.927036
4925	-90.068054	38.699066
4928	-89.272475	38.755485
4933	-95.239938	39.001464
4935	-90.065665	38.670222
4939	-91.55559699	38.66783702
4944	-90.36914203	40.12487104
4948	-91.51230698	38.63920603
4955	-83.79889	41.37218297
4958	-89.277403	38.732444
4960	-86.746256	41.31732501
4964	-84.89810603	39.05562996
4965	-89.48221204	40.55406597
4966	-88.139778	39.305104
4968	-95.239938	39.001464
4977	-88.62446599	40.87326997
4979	-88.163216	39.393248
4981	-91.51230698	38.63920603
4982	-86.73699299	41.35604002
4984	-89.277403	38.732444
4989	-87.81988903	41.16467102
5002	-83.81345096	41.03727398
5006	-87.89857297	41.15132703
5008	-89.272475	38.755485
5015	-83.79889	41.37218297
5018	-83.78943597	41.06360497
5031	-90.447501	38.558781
5032	-83.79889	41.37218297
5040	-83.66247503	41.55656599
5053	-95.239938	39.001464
5061	-91.98047097	39.463458
5066	-83.66247503	41.55656599
5073	-95.215847	38.988681
5079	-88.163216	39.393248
5084	-90.63545798	38.66890403
5086	-83.79889	41.37218297
5089	-90.73639403	38.65643696
5097	-89.272475	38.755485
5098	-87.81988903	41.16467102
5099	-90.065665	38.670222
5100	-95.241462	38.927036
5102	-95.215847	38.988681
5105	-95.241462	38.927036
5110	-84.89810603	39.05562996
5115	-84.89810603	39.05562996
5116	-89.277403	38.732444
5117	-87.81988903	41.16467102
5122	-83.78943597	41.06360497
5125	-87.89857297	41.15132703
5134	-84.92674196	39.01893298
5136	-84.92674196	39.01893298
5137	-88.62446599	40.87326997
5138	-83.66247503	41.55656599
5142	-86.73699299	41.35604002
5144	-84.92674196	39.01893298
5145	-90.26269396	40.17519498
5147	-89.272475	38.755485
5150	-88.139778	39.305104
5151	-89.277403	38.732444
5156	-87.89857297	41.15132703
5157	-90.73639403	38.65643696
5161	-90.447501	38.558781
5163	-95.241462	38.927036
5165	-89.272475	38.755485
5169	-83.66247503	41.55656599
5170	-90.7440433	38.6589929
5171	-95.239938	39.001464
5176	-90.63545798	38.66890403
5183	-86.746256	41.31732501
5189	-87.89857297	41.15132703
5197	-90.065665	38.670222
5202	-88.163216	39.393248
5203	-95.171401	38.782048
5204	-95.241462	38.927036
5205	-91.68243396	39.46407096
5206	-88.163216	39.393248
5208	-90.36914203	40.12487104
5209	-90.068054	38.699066
5213	-89.65567603	40.57469501
5216	-83.78943597	41.06360497
5219	-83.81345096	41.03727398
5220	-90.73639403	38.65643696
5221	-86.746256	41.31732501
5222	-87.81988903	41.16467102
5223	-89.277403	38.732444
5225	-95.215847	38.988681
5227	-90.63545798	38.66890403
5233	-90.26269396	40.17519498
5234	-90.7440433	38.6589929
5238	-95.215847	38.988681
5239	-89.272475	38.755485
5242	-89.272475	38.755485
5244	-95.215847	38.988681
5247	-86.73699299	41.35604002
5249	-90.63545798	38.66890403
5258	-90.065665	38.670222
5261	-88.139778	39.305104
5262	-88.66930699	40.82949003
5264	-95.171401	38.782048
5268	-86.73699299	41.35604002
5270	-90.7440433	38.6589929
5271	-95.215847	38.988681
5277	-88.62446599	40.87326997
5284	-90.068054	38.699066
5285	-87.81988903	41.16467102
5287	-95.171401	38.782048
5294	-83.81345096	41.03727398
5296	-95.215847	38.988681
5300	-89.65567603	40.57469501
5312	-89.277403	38.732444
5316	-90.36914203	40.12487104
5317	-95.239938	39.001464
5320	-91.55559699	38.66783702
5321	-95.239938	39.001464
5323	-88.139778	39.305104
5325	-89.65567603	40.57469501
5326	-87.89857297	41.15132703
5329	-90.36914203	40.12487104
5330	-83.81345096	41.03727398
5333	-83.79889	41.37218297
5334	-90.36914203	40.12487104
5337	-83.66247503	41.55656599
5343	-90.447501	38.558781
5346	-88.139778	39.305104
5348	-89.65567603	40.57469501
5357	-88.139778	39.305104
5359	-84.92674196	39.01893298
5368	-91.55559699	38.66783702
5369	-95.239938	39.001464
5375	-88.163216	39.393248
5377	-90.447501	38.558781
5378	-89.277403	38.732444
5380	-90.26269396	40.17519498
5381	-90.065665	38.670222
5385	-88.163216	39.393248
5387	-91.51230698	38.63920603
5389	-83.81345096	41.03727398
5393	-88.139778	39.305104
5394	-90.63545798	38.66890403
5395	-90.447501	38.558781
5396	-88.163216	39.393248
